,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,"Quarkus is taking its act on the ""virtual"" road to Java user groups across the world. Each session will be approximately 90 mins with 3 distinct sections:
1) Introduction to Quarkus
2) Demo - exact demo is TBD but we will leverage existing Quarkus apps (coffee shop, To Do list, etc.)
3) Ask the Experts (don't be afraid of the word expert, everything is relative)

We Need Your Help! It is going to take the entire Quarkus team to make these events a success. Please consider signing up for as many sessions as you like.
* some JUGs requested to have native speaking presenters.",,,,,,,,,,,,,,,,
,,Week Date,Time and Date,,Zone,Area,JUG,Mailing Address,Swag Order,Lead,"# of
attendees","Native
Language",Segment,,,Notes,JUG details,
,,,,Local time,,,,,,,,,Introduction,Demo,Ask the Experts,,Contact(s),Link
,,week Date,Actual Date,Local time,TimeZone,Area,JUG,,,,Attendees,Language,Speaker1,Speaker2,Speaker3,Notes,Contacts,Jug Link
,,"March 15, 2021",3/16/2021,18:00,GMT,Europe,London Java Community,,,Steve,,English,Steve Poole,"Georgios Andrianakis (confirmed) / Dimitris (confirmed) Sergey (security) Sanne (Hibernate, Persistence, Performance, GraalVM)",,80+ attendees,Dominique Carlo,https://londonjavacommunity.co.uk/
,,"March 15, 2021",23 March 2021,11:00,EST,NA,Connecticut,send coolstuff store gift cards,,Steve,,English,,Steve Poole,Ken,35+ attendees,Ryan Cuprak,https://www.meetup.com/Connecticut-Java-Users-Group/
,,"March 25, 2021",25 March 2021,19:30,GMT+1,Europe,VigoJUG and CoruñaJUG,,,Steve/Roberto,,English / Spanish,Steve Poole,Georgios Andrianakis (confirmed) ,Roberto Cortez,,Anton R Yuste,"https://www.corunajug.org/
https://www.vigojug.org/"
,,"April 8, 2021",8 April 2021,19:00,CEST,Europe,Lavajug,,,,,French,Andy Damevin (confirmed),Andy Damevin (confirmed),Clement Escoffier (confirmed),,Olivier Coupelon,https://www.lavajug.org/
,,"April 12, 2021",15 April 2021,12:00,UTC-3,Latam,SouJava,,,,,Portuguese,,,,,"Elder Moraes, Edson Yanaga",https://soujava.org.br
,,"April 19, 2021",21 April 2021,18:00,PST,NA,Silicon Valley Java User Group,,,Jeff,,English,(Jason Porter),Erin Schnabel,Erin Schnabel,,Arun Gupta,https://www.meetup.com/sv-jug/
,,"April 19, 2021",22 April 2021,17:15,CDT,NA,Kansas City Java Users Group,,,Jeff,,English,Georgios,Georgios,Georgios,,Billy Korondo,https://kcjug.github.io/
,,"April 26, 2021",26 April 20201,18:00,GMT,Europe,Manchester Java Community,,,,,English,Steve Poole,Georgios,Georgios,,Nick Ebbitt,https://www.meetup.com/ManchesterUK-Java-Community/
